ID, administrator
name, administrator
ID, 7741
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-30T12:02:17.398
endDateTime, 2020-08-30T12:05:44.765
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 207.367
ModuleTime, 207.367
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
7776, Block Sensor 3 Check, 2020-08-30T12:05:26.484, 2020-08-30T12:05:26.494, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0100604, 0.0100604, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
7777, Block Sensor 4 Check, 2020-08-30T12:05:26.498, 2020-08-30T12:05:26.508, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0101949, 0.0101949, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
7778, Block Sensor 5 Check, 2020-08-30T12:05:26.512, 2020-08-30T12:05:26.525, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0137403, 0.0137403, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
7779, TE CH0 Posistive Direction Check, 2020-08-30T12:05:26.533, 2020-08-30T12:05:27.298, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.76547, 0.76547, Passed, Numeric, 10.75142031667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
7780, TE CH0 Negative Direction Check, 2020-08-30T12:05:27.302, 2020-08-30T12:05:28.072, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.770262, 0.770262, Passed, Numeric, -10.74181243333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
7781, TE CH1 Posistive Direction Check, 2020-08-30T12:05:28.076, 2020-08-30T12:05:28.836, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.760045, 0.760045, Passed, Numeric, 10.74029645, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
7782, TE CH1 Negative Direction Check, 2020-08-30T12:05:28.840, 2020-08-30T12:05:29.600, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.76027, 0.76027, Passed, Numeric, -10.73476845, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
7783, TE CH2 Posistive Direction Check, 2020-08-30T12:05:29.604, 2020-08-30T12:05:30.374, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, true, 49, 0.770316, Failed, Numeric, 0.9151812683333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
7784, TE CH2 Negative Direction Check, 2020-08-30T12:05:30.378, 2020-08-30T12:05:31.142, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.764248, 0.764248, Failed, Numeric, 1.472890628333e-005, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
7785, TE CH3 Posistive Direction Check, 2020-08-30T12:05:31.146, 2020-08-30T12:05:31.914, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.768362, 0.768362, Passed, Numeric, 10.69477621667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
7786, TE CH3 Negative Direction Check, 2020-08-30T12:05:31.918, 2020-08-30T12:05:32.680, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, 52, 0.762217, 0.762217, Passed, Numeric, -10.69388576667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
7787, TE CH4 Posistive Direction Check, 2020-08-30T12:05:32.684, 2020-08-30T12:05:33.441, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.75696, 0.75696, Passed, Numeric, 10.76540848333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
7788, TE CH4 Negative Direction Check, 2020-08-30T12:05:33.445, 2020-08-30T12:05:34.210, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.765532, 0.765532, Passed, Numeric, -10.76358541667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
7789, TE CH5 Posistive Direction Check, 2020-08-30T12:05:34.214, 2020-08-30T12:05:34.979, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.765463, 0.765463, Passed, Numeric, 10.77110356667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
7790, TE CH5 Negative Direction Check, 2020-08-30T12:05:34.983, 2020-08-30T12:05:35.746, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 0.762892, 0.762892, Passed, Numeric, -10.76208096667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
7791, TE CH0 4.9A Current Check, 2020-08-30T12:05:35.750, 2020-08-30T12:05:36.510, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 0.760031, 0.760031, Passed, Numeric, 4.910399983333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
7792, TE CH1 4.9A Current Check, 2020-08-30T12:05:36.514, 2020-08-30T12:05:37.274, ID#:E9ohR7rRd06h1Ub0N5DZyA, Test, NumericLimitTest, Main, 0, 58, 0.760025, 0.760025, Passed, Numeric, 4.894699416667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
7793, TE CH2 4.9A Current Check, 2020-08-30T12:05:37.278, 2020-08-30T12:05:38.038, ID#:Y3I5o2JSWECvuZc5LEbuSC, Test, NumericLimitTest, Main, 0, 59, 0.760444, 0.760444, Failed, Numeric, 0.4957072733333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
7794, TE CH3 4.9A Current Check, 2020-08-30T12:05:38.042, 2020-08-30T12:05:38.815, ID#:cgTfSE0f50qk4vd7/g62eA, Test, NumericLimitTest, Main, 0, 60, 0.77369, 0.77369, Passed, Numeric, 4.862853433333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
7795, TE CH4 4.9A Current Check, 2020-08-30T12:05:38.819, 2020-08-30T12:05:39.580, ID#:qZmQ+0ejzUCfnDZbcGD3FD, Test, NumericLimitTest, Main, 0, 61, 0.760479, 0.760479, Passed, Numeric, 4.924509466667, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
7796, TE CH5 4.9A Current Check, 2020-08-30T12:05:39.584, 2020-08-30T12:05:40.353, ID#:W+O0m6YLCUyKsJZATJ5u7D, Test, NumericLimitTest, Main, 0, 62, 0.76979, 0.76979, Passed, Numeric, 4.911548683333, AND, LimitPair, N.A, ampere, 4.65, 5.15, 
7797, Power Off, 2020-08-30T12:05:41.224, 2020-08-30T12:05:43.083, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.8586, 1.8586, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7798, DC Power Off, 2020-08-30T12:05:43.083, 2020-08-30T12:05:43.402, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.319046, 0.319046, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7799, Wait 10, 2020-08-30T12:05:43.402, 2020-08-30T12:05:44.755, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 1.35345, 1.35345, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
