ID, administrator
name, administrator
ID, 830
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-09T16:24:44.939
endDateTime, 2020-09-09T16:28:30.527
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 225.589
ModuleTime, 225.589
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
866, Block Sensor 4 Check, 2020-09-09T16:27:59.507, 2020-09-09T16:27:59.518, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.011088, 0.011088, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
867, Block Sensor 5 Check, 2020-09-09T16:27:59.522, 2020-09-09T16:27:59.532, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0105728, 0.0105728, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
868, TE CH0 Posistive Direction Check, 2020-09-09T16:27:59.556, 2020-09-09T16:28:00.336, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.779988, 0.779988, Passed, Numeric, 10.69414065, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
869, TE CH0 Negative Direction Check, 2020-09-09T16:28:00.340, 2020-09-09T16:28:01.164, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.823537, 0.823537, Passed, Numeric, -10.68916023333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
870, TE CH1 Posistive Direction Check, 2020-09-09T16:28:01.168, 2020-09-09T16:28:01.941, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.773272, 0.773272, Passed, Numeric, 10.69446515, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
871, TE CH1 Negative Direction Check, 2020-09-09T16:28:01.945, 2020-09-09T16:28:02.715, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.769902, 0.769902, Passed, Numeric, -10.69131613333, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
872, TE CH2 Posistive Direction Check, 2020-09-09T16:28:02.719, 2020-09-09T16:28:03.486, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.767131, 0.767131, Passed, Numeric, 10.70489536667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
873, TE CH2 Negative Direction Check, 2020-09-09T16:28:03.490, 2020-09-09T16:28:04.262, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.771881, 0.771881, Passed, Numeric, -10.69705165, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
874, TE CH3 Posistive Direction Check, 2020-09-09T16:28:04.265, 2020-09-09T16:28:05.037, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.771435, 0.771435, Passed, Numeric, 10.72340081667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
875, TE CH3 Negative Direction Check, 2020-09-09T16:28:05.041, 2020-09-09T16:28:05.817, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, true, 52, 0.776304, Failed, Numeric, -0.0002861951466667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
