ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-05T16:11:09.923
endDateTime, 2020-08-05T16:24:20.634
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 790.712
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, Event ID, Severity, Error source, 
32, SRAM Page 3 Check, 2020-08-05T16:14:22.713, 2020-08-05T16:14:23.113, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.400684, 0.400684, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
33, Power Cycle Unit, 2020-08-05T16:14:23.115, 2020-08-05T16:14:52.050, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.9357, 28.9357, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
34, Battery Backup Test, 2020-08-05T16:14:52.054, 2020-08-05T16:14:53.102, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.04744, 1.04744, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
35, Block Sensor 0 Check, 2020-08-05T16:14:53.109, 2020-08-05T16:14:53.123, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0138328, 0.0138328, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, N.A, N.A, N.A, 
36, Block Sensor 1 Check, 2020-08-05T16:14:53.126, 2020-08-05T16:14:53.138, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0119835, 0.0119835, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, N.A, N.A, N.A, 
37, Block Sensor 2 Check, 2020-08-05T16:14:53.142, 2020-08-05T16:14:53.153, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.010928, 0.010928, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, N.A, N.A, N.A, 
38, Block Sensor 3 Check, 2020-08-05T16:14:53.156, 2020-08-05T16:14:53.173, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0165602, 0.0165602, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, N.A, N.A, N.A, 
39, Block Sensor 4 Check, 2020-08-05T16:14:53.176, 2020-08-05T16:14:53.188, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0121153, 0.0121153, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, N.A, N.A, N.A, 
40, Block Sensor 5 Check, 2020-08-05T16:14:53.192, 2020-08-05T16:14:53.203, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0108122, 0.0108122, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, N.A, N.A, N.A, 
41, TE CH0 Posistive Direction Check, 2020-08-05T16:14:53.210, 2020-08-05T16:14:53.978, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.767717, 0.767717, Passed, Numeric, 10.66955323333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
42, TE CH0 Negative Direction Check, 2020-08-05T16:14:53.982, 2020-08-05T16:14:54.746, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.764262, 0.764262, Passed, Numeric, -10.66749268333, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, N.A, N.A, N.A, 
43, TE CH1 Posistive Direction Check, 2020-08-05T16:14:54.750, 2020-08-05T16:14:55.513, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.762905, 0.762905, Passed, Numeric, 10.68251016667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
44, TE CH1 Negative Direction Check, 2020-08-05T16:14:55.516, 2020-08-05T16:14:56.278, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.761265, 0.761265, Passed, Numeric, -10.67683895, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, N.A, N.A, N.A, 
45, TE CH2 Posistive Direction Check, 2020-08-05T16:14:56.281, 2020-08-05T16:14:57.053, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, true, 49, 0.772152, Failed, Numeric, 2.289036166667e-006, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
46, TE CH2 Negative Direction Check, 2020-08-05T16:14:57.057, 2020-08-05T16:14:57.828, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.770328, 0.770328, Failed, Numeric, 2.204303516667e-006, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, N.A, N.A, N.A, 
47, TE CH3 Posistive Direction Check, 2020-08-05T16:14:57.831, 2020-08-05T16:14:58.601, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.769877, 0.769877, Failed, Numeric, 1.74402495e-006, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
48, TE CH3 Negative Direction Check, 2020-08-05T16:14:58.605, 2020-08-05T16:14:59.378, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, 52, 0.772588, 0.772588, Failed, Numeric, 2.99386585e-006, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, N.A, N.A, N.A, 
49, TE CH4 Posistive Direction Check, 2020-08-05T16:14:59.381, 2020-08-05T16:15:00.146, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.764498, 0.764498, Passed, Numeric, 10.67582815, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
50, TE CH4 Negative Direction Check, 2020-08-05T16:15:00.150, 2020-08-05T16:15:00.921, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.771612, 0.771612, Passed, Numeric, -10.66736211667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, N.A, N.A, N.A, 
51, TE CH5 Posistive Direction Check, 2020-08-05T16:15:00.925, 2020-08-05T16:15:01.687, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.761802, 0.761802, Passed, Numeric, 10.7094871, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, N.A, N.A, N.A, 
52, TE CH5 Negative Direction Check, 2020-08-05T16:15:01.691, 2020-08-05T16:15:02.455, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 0.764162, 0.764162, Passed, Numeric, -10.7090572, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, N.A, N.A, N.A, 
53, TE CH0 4.9A Current Check, 2020-08-05T16:15:02.459, 2020-08-05T16:15:03.227, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 0.768181, 0.768181, Passed, Numeric, 4.88651775, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, N.A, N.A, N.A, 
54, TE CH1 4.9A Current Check, 2020-08-05T16:15:03.231, 2020-08-05T16:15:04.002, ID#:E9ohR7rRd06h1Ub0N5DZyA, Test, NumericLimitTest, Main, 0, 58, 0.77101, 0.77101, Passed, Numeric, 4.9057146, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, N.A, N.A, N.A, 
55, TE CH2 4.9A Current Check, 2020-08-05T16:15:04.006, 2020-08-05T16:15:04.778, ID#:Y3I5o2JSWECvuZc5LEbuSC, Test, NumericLimitTest, Main, 0, 59, 0.772308, 0.772308, Failed, Numeric, 2.251409866667e-006, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, N.A, N.A, N.A, 
56, TE CH3 4.9A Current Check, 2020-08-05T16:15:04.782, 2020-08-05T16:15:05.553, ID#:cgTfSE0f50qk4vd7/g62eA, Test, NumericLimitTest, Main, 0, 60, 0.770737, 0.770737, Failed, Numeric, 2.805842033333e-006, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, N.A, N.A, N.A, 
57, TE CH4 4.9A Current Check, 2020-08-05T16:15:05.556, 2020-08-05T16:15:06.327, ID#:qZmQ+0ejzUCfnDZbcGD3FD, Test, NumericLimitTest, Main, 0, 61, 0.771044, 0.771044, Passed, Numeric, 4.879123266667, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, N.A, N.A, N.A, 
58, TE CH5 4.9A Current Check, 2020-08-05T16:15:06.332, 2020-08-05T16:15:07.096, ID#:W+O0m6YLCUyKsJZATJ5u7D, Test, NumericLimitTest, Main, 0, 62, 0.764682, 0.764682, Passed, Numeric, 4.92334055, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, N.A, N.A, N.A, 
59, TE CH0 1.3A Current Check, 2020-08-05T16:15:07.100, 2020-08-05T16:15:07.862, ID#:zAMmmENuhU6nwXzNCkCpAB, Test, NumericLimitTest, Main, 0, 63, 0.761513, 0.761513, Passed, Numeric, 1.45539476, AND, LimitPair, N.A, ampere, 1.214, 1.64, N.A, N.A, N.A, N.A, 
60, TE CH1 1.3A Current Check, 2020-08-05T16:15:07.866, 2020-08-05T16:15:08.629, ID#:+mkxle4HCUuueQvr1qk9lA, Test, NumericLimitTest, Main, 0, 64, 0.763696, 0.763696, Passed, Numeric, 1.476110851667, AND, LimitPair, N.A, ampere, 1.314, 1.64, N.A, N.A, N.A, N.A, 
61, TE CH2 1.3A Current Check, 2020-08-05T16:15:08.633, 2020-08-05T16:15:09.401, ID#:dQAAUs4UnE2mZArRjriTfB, Test, NumericLimitTest, Main, 0, 65, 0.768142, 0.768142, Failed, Numeric, 2.420616916667e-006, AND, LimitPair, N.A, ampere, 1.314, 1.64, N.A, N.A, N.A, N.A, 
62, TE CH3 1.3A Current Check, 2020-08-05T16:15:09.407, 2020-08-05T16:15:10.178, ID#:/oo1b9hIYEyxdUgLN0ylID, Test, NumericLimitTest, Main, 0, 66, 0.771496, 0.771496, Failed, Numeric, 2.242057166667e-006, AND, LimitPair, N.A, ampere, 1.314, 1.64, N.A, N.A, N.A, N.A, 
63, TE CH4 1.3A Current Check, 2020-08-05T16:15:10.182, 2020-08-05T16:15:16.404, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 6.22166, 6.22166, Passed, Numeric, 1.45830502, AND, LimitPair, N.A, ampere, 1.314, 1.64, 8, N.A, N.A, N.A, 
64, TE CH4 1.3A Current Check (Loop Index:0), 2020-08-05T16:15:10.182, 2020-08-05T16:15:10.952, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.769639, 0.769639, Passed, Numeric, 1.454026523333, AND, LimitPair, N.A, ampere, 1.314, 1.64, 0, N.A, N.A, N.A, 
65, TE CH4 1.3A Current Check (Loop Index:1), 2020-08-05T16:15:10.953, 2020-08-05T16:15:11.721, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.767999, 0.767999, Passed, Numeric, 1.457038593333, AND, LimitPair, N.A, ampere, 1.314, 1.64, 1, N.A, N.A, N.A, 
66, TE CH4 1.3A Current Check (Loop Index:2), 2020-08-05T16:15:11.723, 2020-08-05T16:15:12.483, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.759702, 0.759702, Passed, Numeric, 1.455813313333, AND, LimitPair, N.A, ampere, 1.314, 1.64, 2, N.A, N.A, N.A, 
67, TE CH4 1.3A Current Check (Loop Index:3), 2020-08-05T16:15:12.484, 2020-08-05T16:15:13.251, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.766976, 0.766976, Passed, Numeric, 1.45680589, AND, LimitPair, N.A, ampere, 1.314, 1.64, 3, N.A, N.A, N.A, 
68, TE CH4 1.3A Current Check (Loop Index:4), 2020-08-05T16:15:13.254, 2020-08-05T16:15:14.035, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.781206, 0.781206, Passed, Numeric, 1.456439361667, AND, LimitPair, N.A, ampere, 1.314, 1.64, 4, N.A, N.A, N.A, 
69, TE CH4 1.3A Current Check (Loop Index:5), 2020-08-05T16:15:14.037, 2020-08-05T16:15:14.821, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.784826, 0.784826, Passed, Numeric, 1.456483148333, AND, LimitPair, N.A, ampere, 1.314, 1.64, 5, N.A, N.A, N.A, 
