ID, administrator
name, administrator
ID, 563
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-07T05:31:44.101
endDateTime, 2022-04-07T05:35:27.770
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 223.67
ModuleTime, 223.67
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
595, Block Sensor 0 Check, 2022-04-07T05:35:11.107, 2022-04-07T05:35:11.116, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0095329, 0.0095329, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
596, Block Sensor 1 Check, 2022-04-07T05:35:11.119, 2022-04-07T05:35:11.130, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.011019, 0.011019, Passed, Numeric, 52.9, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
597, Block Sensor 2 Check, 2022-04-07T05:35:11.134, 2022-04-07T05:35:11.143, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0097166, 0.0097166, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
598, Block Sensor 3 Check, 2022-04-07T05:35:11.147, 2022-04-07T05:35:11.157, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0097299, 0.0097299, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
599, Block Sensor 4 Check, 2022-04-07T05:35:11.160, 2022-04-07T05:35:11.175, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0150975, 0.0150975, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
600, Block Sensor 5 Check, 2022-04-07T05:35:11.178, 2022-04-07T05:35:11.189, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0109588, 0.0109588, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
601, TE CH0 Posistive Direction Check, 2022-04-07T05:35:11.195, 2022-04-07T05:35:11.974, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.778285, 0.778285, Passed, Numeric, 10.6828918, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
602, TE CH0 Negative Direction Check, 2022-04-07T05:35:11.977, 2022-04-07T05:35:12.724, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.747318, 0.747318, Passed, Numeric, -10.67935356667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
603, TE CH1 Posistive Direction Check, 2022-04-07T05:35:12.736, 2022-04-07T05:35:13.531, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.794501, 0.794501, Passed, Numeric, 10.72295538333, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
604, TE CH1 Negative Direction Check, 2022-04-07T05:35:13.543, 2022-04-07T05:35:14.345, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.802743, 0.802743, Passed, Numeric, -10.71883261667, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
